;Bier;Soort;Alcohol;Brouwerij
0;3 Schténg;hogegisting;6%;Brasserie Grain d'Orge
1;IV Saison;saison;6,5%;Brasserie de Jandrain-Jandrenouille
2;V Cense;hogegisting;7,5%;Brasserie de Jandrain-Jandrenouille
3;VI Wheat;hogegisting;6%;Brasserie de Jandrain-Jandrenouille
4;7PK;hogegisting;7%;Brouwerij Anders!
5;26.2 M;hogegisting;6%;Brasserie L'Échappée Belle
6;28 Brett;versneden,amber;7,5%;De Proefbrouwerij voor Caulier Developpement
7;28 Pale Ale;blond;5%;De Proefbrouwerij voor Caulier Developpement
8;28 Triple;abdijbier;9%;Brasserie De Proefbrouwerij
9;44 Blanche;hogegisting;5,5%;Brasserie de La Gleize
10;44 Blonde;hogegisting;5,5%;Brasserie de La Gleize
11;44 Brune;hogegisting;5,5%;Brasserie de la Gleize
12;44 Brune Cuvée Spéciale;hogegisting;6,5%;Brasserie de la Gleize
13;44 Christmas;hogegisting;6%;Brasserie de la Gleize
14;44 Nuts Ambrée;hogegisting;6%;Brasserie de la Gleize
15;44 Tiger Triple;hogegisting;8%;Brasserie de la Gleize
16;365 Pils Bière;pils;4,7%;Brouwerij Haacht
17;421 Pintje;hogegisting;4,6%;Brasserie Millevertus
18;400-Quadrigenti;hogegisting;5,6%;'t Hofbrouwerijke
19;1414 Ambrosius;hogegisting;5%;Brouwerij Anders!
20;1815;hogegisting;7%;Brasserie des Fagnes
21;1842 by Caulier;hogegisting;9%;Brasserie De Proefbrouwerij
22;2290 Vorselaar;hogegisting;6%;Brouwerij Anders!
23;Aardmonnik;oudbruin;8%;De Struise Brouwers
24;Aarschotse Bruine;bruin;6%;Stadsbrouwerij Aarschot
25;Abbay d'Aulne Blonde des Pères 6;abdijbier,blond;6%;Brasserie Val de Sambre
26;Abbay d'Aulne Brune des Pères 6;abdijbier,bruin;6%;Brasserie Val de Sambre
27;Abbay d'Aulne Super Noël 9;abdijbier,kerstbier;9%;Brasserie Val de Sambre
28;Abbay d'Aulne Triple Blonde;abdijbier,tripel;8%;Brasserie Val de Sambre
29;Abbay d'Aulne Triple Brune;abdijbier,tripel;8%;Brasserie Val de Sambre
30;Abbay d'Aulne Val de Sambre;abdijbier,amber;6,4%;Brasserie Val de Sambre
31;Abbaye de Bonne-Espérance;abdijbier;7,8%;Brouwerij Lefebvre
32;Abbaye de Forest;abdijbier;6,5%;Brasserie de Silly
33;Abbaye de la Thure;abdijbier;10%;Brasserie Brootcoorens
34;Abbaye de Saint-Martin Blonde;abdijbier;7%;Brasserie de Brunehaut
35;Abbaye de Saint-Martin Brune;abdijbier;8%;Brasserie de Brunehaut
36;Abbaye de Saint-Martin Cuvée de Noël;abdijbier;8,5%;Brasserie de Brunehaut
37;Abbaye de Saint-Martin Triple;abdijbier;9%;Brasserie de Brunehaut
38;Abbaye de Oudkerken;abdijbier;6,2%;Brouwerij Lefebvre
39;Abbaye des Rocs Blonde;abdijbier,hogegisting;7,5%;Brasserie de l'Abbaye des Rocs
40;Abbaye des Rocs Brune;abdijbierbruin;9%;Brasserie de l'Abbaye des Rocs
41;Abbaye des Rocs Grand Cru;abdijbierale;9,5%;Brasserie de l'Abbaye des Rocs
42;Abbaye des Rocs Spéciale Noël;abdijbier,kerstbier;9%;Brasserie de l'Abbaye des Rocs
43;Abdis Blond;blond;6,5%;Brouwerij Riva
44;Abdis Bruin;bruin;6,5%;Brouwerij Riva
45;Abdis Tripel;tripel;8,2%;Brouwerij Riva
46;Abdij van Roosenberg Dubbel;dubbel;7%;Brouwerij Van Steenberge
47;Abdij van Roosenberg Tripel;tripel;9%;Brouwerij Van Steenberge
48;Achel 5 Blond;trappist;5%;Achelse Kluis
49;Achel 5 Bruin;trappist,bruin;5%;Achelse Kluis
50;Achel 7;trappist;7%;Achelse Kluis
51;Achel 6;trappist;6%;Achelse Kluis
52;Achel 8 Blond;trappist,blond;8%;Achelse Kluis
53;Achel 8 Bruin;trappist,bruin;8%;Achelse Kluis
54;Achel Blond Extra;trappist,blond;9,5%;Achelse Kluis
55;Achel Bruin Extra;trappist,bruin;9,5%;Achelse Kluis
56;Adelardus;abdijbier;7%;Brouwerij Sint-Jozef
57;Adelardus Tripel;abdijbier,tripel;9%;Brouwerij Sint-Jozef voor Brouwerij Kerkom
58;Adler;pils;6,5%;Brouwerij Haacht
59;Adriaen Brouwer;hogegisting,bruin;5%;Brouwerij Roman
60;Adriaen Brouwer Dark Gold;hogegisting,bruin;8,5%;Brouwerij Roman
61;Affligem 10;abdijbier;10%;Affligem Brouwerij (Heineken)
62;Affligem Blond;abdijbier,blond;6,8%;Affligem Brouwerij
63;Affligem Dubbel;abdijbier,bruin;6,8%;Affligem Brouwerij (Heineken)
64;Affligem 950 Cuvee;abdijbier,blond;6,8%;Affligem Brouwerij (Heineken)
65;Affligem Noël;abdijbier,kerstbier;9%;Affligem Brouwerij (Heineken)
66;Affligem Patersvat;abdijbier,dubbelge;6,8%;Affligem Brouwerij (Heineken)
67;Affligem Rood;abdijbier;6,7%;Affligem Brouwerij (Heineken)
68;Affligem Tripel;abdijbier,tripel;8,5%;Affligem Brouwerij (Heineken)
69;Agrumbocq;hogegisting;3,1%;Brasserie du Bocq
70;Airborne;abdijbier,dubbel;7,5%;Brasserie De Bouillon
71;Airborne Christmas;kerstbier;8%;Brasserie De Bouillon
72;Akila Pils;pils;5%;Brouwerij Louwaege
73;Alfoncine;robijnrood;8,5%;Brouwerij Strubbe
74;Alfri;napils;0,5%;Brouwerij Roman
75;Alpaïde;donkere;10%;Brouwerij Nieuwhuys
76;Alpaïde Cuvée van de generaal;blonde;8,5%;Brouwerij Nieuwhuys
77;Alpha;amber;6%;Brouwerij Anders!
78;Altitude 6;ale,blond;6%;Brasserie de l'Abbaye des Rocs
79;Alvinne blond;blond;6,3%;Brouwerij Alvinne
80;Alvinne Extra Restyled;lichtamber;7%;Brouwerij Alvinne
81;Alvinne Lex'ke;blond;6,3%;Brouwerij Alvinne
82;Alvinne Tripel;tripel;8,7%;Brouwerij Alvinne
83;Alvino Bourgogne Barrel OA;fruitbier,oakaged;5,5%;Brouwerij Alvinne
84;Ambetanterik;stout;8,7%;Brouwerij Het Alternatief
85;Ambiorix;roodbruin;8%;Brouwerij Slaghmuylder
86;Angélus Blonde;blond;7%;Brasserie Brootcoorens
87;Angélus Brune;bruin;7%;Brasserie Brootcoorens
88;Angélus Spéciale Noël;kerstbier;9%;Brasserie Brootcoorens
89;Anker Blond;blond;6,5%;Brouwerij Het Anker
90;Anker Boscoulis;fruitbier;6,5%;Brouwerij Het Anker
91;Anker Herfstbok;bruinspeciaalbier,bokbier;6,5%;Brouwerij Het Anker
92;Anker Pils;pils;;Brouwerij Het Anker
93;Anker Pils;pils;5%;Brouwerij Het Anker
94;Antiek Blond;blond;8%;Brouwerij Deca
95;Antiek Bruin;bruin;8%;Brouwerij Deca
96;Antiek Super 5 Blond;blond;5%;Brouwerij Deca
97;Antigoon;blond;6,7%;De Proefbrouwerij voor The Musketeers
98;Antwerps Blond;blond;5%;Huisbrouwerij 't Pakhuis
99;Antwerps Bruin;bruin;5,8%;Huisbrouwerij 't Pakhuis
100;Applebocq;fruitbier;3,1%;Brasserie Du Bocq
101;Arabier;blond;8%;De Dolle Brouwers
102;Archiduc;;6,2%;Brasserie d'Ecaussinnes
103;Arend Blond;blond;6,5%;Brouwerij De Ryck
104;Arend Dubbel;donkerbruin;6,5%;Brouwerij De Ryck
105;Arend Tripel;goudblond;8%;Brouwerij De Ryck
106;Arend Winter;donker;6,3%;Brouwerij De Ryck
107;Arendonker Bruin;bruin;8,5%;Dorpsbrouwerij Humulus
108;Arendonker Tripel;goudblond;8%;Dorpsbrouwerij Humulus
109;Armand’4 Herfst;oude;6%;Geuzestekerij 3 Fonteinen
110;Armand’4 Lente;oude;6%;Geuzestekerij 3 Fonteinen
111;Armand’4 Winter;oude;6%;Geuzestekerij 3 Fonteinen
112;Armand’4 Zomer;oude;6%;Geuzestekerij 3 Fonteinen
113;Artevelde;specialebelge;5,7%;Brouwerij Huyghe
114;Artevelde Grand Cru;roodbruin;7,2%;Brouwerij Huyghe
115;Asterie;witbier;4,9%;Brasserie d'Ecaussinnes
116;Atomium Premier Grand Cru;amber;8%;Brouwerij Van Steenberge
117;Augrenette;blond;4,5%;Brouwerij Augrenoise
118;Augrenoise;troebelblond;6,5%;Brouwerij Augrenoise
119;Augrenoise Blonde de Noël;troebelblond,kerstbier;10%;Brouwerij Augrenoise
120;Augustijn Blond;abdijbier;7,5%;Brouwerij Van Steenberge
121;Augustijn Donker;abdijbier;7%;Brouwerij Van Steenberge
122;Augustijn Grand Cru;abdijbier,tripel;9%;Brouwerij Van Steenberge
123;Authentic 621;bruin;7,5%;Authentique Brasserie
124;Authentic Ambrée;amber;5%;Authentique Brasserie
125;Authentic Blonde;blond;6,5%;Authentique Brasserie
126;Authentic Blonde de Noël;kerstbier;9%;Authentique Brasserie
127;Authentic Triple;tripel;9,5%;Authentique Brasserie
128;L'Autruche Biere des Gilles;blondtroebel;7%;Brasserie de Silenrieux
129;Avec les Bons Vœux;blond;9,5%;Brouwerij Dupont
130;Averbode;abdijbier;7,5%;Brouwerij Huyghe
131;Babylone;bitter;7%;Brouwerij Brussels Beer Project
132;Bacchus;oudbruin;4,5%;Brouwerij Van Honsebrouck
133;Bacchus Frambozenbier;fruitbier;5%;Brouwerij Van Honsebrouck
134;Bacchus Kriekenbier;fruitbier;5,8%;Brouwerij Van Honsebrouck
135;Balthazar;winterbier;8,9%;Brouwerij Alvinne
136;Barbãr;blond,honingbier;8%;Brouwerij Lefebvre
137;Barbãr Winter Bok;bokbier;8%;Brouwerij Lefebvre
138;Barbãr Cuveé Special;honingbier;8%;Brouwerij Lefebvre
139;Barbe d'Or;blond;7,5%;Brouwerij Verhaeghe
140;Barbe Noire;stout;9%;Brouwerij Verhaeghe
141;Barbe Rouge;amber;8%;Brouwerij Verhaeghe
142;Barse Cuvée;bruin;10%;Bierfirma Valocco
143;Bas;goudblond;6,5%;De Proefbrouwerij voor bierfirma Bas-bieren
144;Bastogne Pale Ale;belgian;6,5%;Brasserie de Bastogne
145;Basilius;amber;7%;De Proefbrouwerij
146;Bavaro;blond,lagegisting;3,6%;Brouwerij Haacht
147;Bavik Blond;tafelbier;1,5%;Brouwerij Bavik
148;Bavik Faro;tafelbier;1,5%;Brouwerij Bavik
149;Bavik Pony-Stout;stout;5,2%;Brouwerij Bavik
150;Bavik Premium Pils;pils;5,2%;Brouwerij Bavik
151;Bavik Triple Bock;bokbier;3%;Brouwerij Bavik
152;Beer for Life;blond;6,5%;Brouwerij Dilewyns
153;Beernems Berenbier;blond;7,5%;brouwerij De Smedt
154;Beersel Bio;blond;7%;Geuzestekerij 3 Fonteinen
155;Beersel Blond;blond;7%;Geuzestekerij 3 Fonteinen
156;Beersel Lager;pils;5,2%;Geuzestekerij 3 Fonteinen
157;Bel Pils;pils;5%;Brouwerij Duvel Moortgat
158;Belgian Angel Stout;stout;5,2%;Brasserie Brootcoorens
159;Belgian Framboises;fruitbier;3,5%;Brasserie Lefebvre
160;Belgian Kriek;fruitbier;3,5%;Brasserie Lefebvre
161;Belge;spécialebelge;5%;Brasserie La Binchoise
162;Belgian Pêches;fruitbier;3,5%;Brasserie Lefebvre
163;Belgica IPA;ipa;7,9%;Brouwerij Strubbe
164;Belgoo Arboo;tripel,amber;8,1%;Brouwerij Belgoobeer
165;Belgoo Bio Amber;biologisch;7,8%;Brouwerij Belgoobeer bij Brouwerij La Binchoise
166;Belgoo Bio Blond;biologisch;6,4%;Brouwerij Belgoobeer bij Brouwerij La Binchoise
167;Belgoo Magus;blond;6,6%;Brouwerij Belgoobeer bij Brouwerij La Binchoise
168;Belgoo Maxus;goudblond;8,1%;Brouwerij Belgoobeer bij Brouwerij La Binchoise
169;Belgoo Luppoo;goudblond;6,5%;Brouwerij Belgoobeer bij Brouwerij La Binchoise
170;Bella Mère;blond;6,5%;Brasserie Millevertus
171;Belle Cies;blond;10%;Huisbrouwerij Den Tseut
172;Belle-Fleur;ipa;6%;Brouwerij De Dochter van de Korenaar
173;Belle-Vue Framboise;fruitbier;5,7%;Brouwerij Belle-Vue
174;Belle-Vue Extra Framboise;fruitbier;2,9%;Brouwerij Belle-Vue (Inbev)
175;Belle-Vue Kriek;kriek;5,2%;Brouwerij Belle-Vue (InBev)
176;Belle-Vue Kriek Classique;kriek;5,1%;Brouwerij Belle-Vue (Inbev)
177;Belle-Vue Kriek Primeur;lambiek;5,5%;Brouwerij Belle-Vue (InBev)
178;Belle-Vue Extra Kriek;kriek;4,3%;Brouwerij Belle-Vue (InBev)
179;Belle-Vue Gueuze;lambiek;5,5%;Brouwerij Belle-Vue (InBev)
180;Belle-Vue Selection Lambik;lambiek;;Brouwerij Belle-Vue (InBev)
181;Belle-Vue LA;alcoholarm;1%;Brouwerij Belle-Vue (Inbev)
182;Bellebier Amber;amber;5,2%;Brouwerij Van Steenberge
183;Bellebier Dubbel;bruin;6,2%;Brouwerij Van Steenberge voor Paeleman
184;Bellebier Trippel;tripel;8%;Brouwerij Van Steenberge voor Paeleman
185;Bellegems Bruin;vlaamsoudbruin;5,5%;Brouwerij Bockor
186;Bellegems Witbier;witbier;5,0%;Brouwerij Bockor
187;Belval;blond;4,8%;Gageleer
188;Berentemmer;bruin;7%;Brouwerij Maenhout
189;Bersalis Tripel;blond,hogegisting,tripel;9,5%;Brouwerij Huyghe
190;Bersalis Kadet;blond;4,5%;Brouwerij Huyghe voor Brouwerij Oud Beersel
191;Bertinchamps B+ Blanche;witbier;5%;Brasserie de Bertinchamps
192;Bertinchamps B+ Pamplemousse;fruitbier;5,2%;Brasserie de Bertinchamps
193;Bertinchamps Blonde;blond;6,2%;Brasserie de Bertinchamps
194;Bertinchamps Brune;bruin;7%;Brasserie de Bertinchamps
195;Bertinchamps Hiver;winterbier;8%;Brasserie de Bertinchamps
196;Bertinchamps Triple;tripel;8%;Brasserie de Bertinchamps
197;Beta;donkeramber;6%;Brouwerij Anders!
198;Betchard Brune;bruin;7%;Brasserie de Tubize
199;Betchard Blonde;blond;5,5%;Brasserie de Tubize
200;Bieken;blond;8%;Brouwerij Boelens
201;Bierbeekse;blond-amber,hogegisting;7,3%;Brouwerij Van Steenberge voor de gemeente Bierbeek en Terclavers
202;Bierbuik;donker;8%;De Verhuisbrouwerij
203;Bière Darbyste;amber;5,8%;Brasserie de Blaugies
204;Bière de Beloeil;hogegisting;8,5%;Brasserie Dupont
205;Bière de Garde;biologisch,roodbruin;10%;Brouwerij Jessenhofke
206;Bière de la Bonde;tripel;10%;Brouwerij Van Eecke
207;Bière de Miel Bio;honingbier;8%;Brouwerij Rimaux-Deridder
208;Bière de Miel Bio;biologisch,honingbier;8%;Brouwerij Dupont
209;Bière des Ours;honingbier;8,5%;Brasserie La Binchoise
210;Bière du Corsaire Cuvée Spéciale;sterkblond;9,4%;Brouwerij Huyghe
211;Bière du Mont Saint-Aubert;blond;8%;Brasserie de Brunehaut
212;Bière Spéciale Belge;spécialebelge;5%;Brasserie La Binchoise
213;Big Bavik;blond;5%;Brouwerij Bavik
214;Bierpruver Dubbel Bruin;dubbel;7,5%;Huisbrouwerij de 3 vaten
215;Bierpruver Tripel;tripel;9%;Huisbrouwerij de 3 vaten
216;Bierpruver Winter;winterbier;8%;Huisbrouwerij de 3 vaten
217;Big Bayou;metcajunkruiden;4%;Brouwerij Smisje
218;Bink Blond;belgischepaleale;5,5%;Brouwerij Kerkom
219;Bink Bruin;dubbel;5,5%;Brouwerij Kerkom
220;Bink Bloesem;blond;7,1%;Brouwerij Kerkom
221;Bink Tripel;tripel;9%;Brouwerij Kerkom
222;Biolégère;biologisch;3,5%;Brouwerij Dupont
223;Bioloo Amber;biologisch;7,8%;Brouwerij Belgoobeer
224;Bioloo Blond;biologisch;6,4%;Brouwerij Belgoobeer bij Brouwerij La Binchoise
225;Bitter Sweet Symphony;dubbele;7,8%;Brouwerij 't Gaverhopke
226;Bittere Waarheid;belgianipa;11%;Brouwerij Het Alternatief
227;Black;donkereale;6,3%;Brasserie de Bellevaux
228;Black Albert;belgianroyalstout;13%;De Struise Brouwers
229;Black Damnation;russianimperialstout;13%;De Struise Brouwers bij Brouwerij Deca
230;Black Damnation I (Albert);russianimperialstout;13%;De Struise Brouwers bij Brouwerij Deca
231;Black Damnation II (Mocha Bomb);russianimperialstout;12%;De Struise Brouwers bij Brouwerij Deca
232;Black Damnation III (Black Mes);russianimperialstout;13%;De Struise Brouwers bij Brouwerij Deca
233;Black Damnation IV (Coffée Club);russianimperialstout;13%;De Struise Brouwers bij Brouwerij Deca
234;Black Damnation V (Double Black);russianimperialstout,eisbockmethode;26%;De Struise Brouwers bij Brouwerij Deca
235;Black Damnation VI (Messy);russianimperialstout,eisbockmethode;39%;De Struise Brouwers bij Brouwerij Deca
236;Black Damnation VII (Single Black);russianimperialstout,eisbockmethode;2%;De Struise Brouwers bij Brouwerij Deca
237;Black Damnation VIII (S.H.I.T));russianimperialstout;12%;De Struise Brouwers bij Brouwerij Deca
238;Black Damnation IX (Beggars' Art);russianimperialstout;19,1%;De Struise Brouwers bij Brouwerij Deca
239;Black Damnation X (Double Wood);russianimperialstout;15%;De Struise Brouwers bij Brouwerij Deca
240;Black Damnation XI (Special Kay);russianimperialstout,eisbockmethode;22%;De Struise Brouwers bij Brouwerij Deca
241;Black Damnation XII (Nuptiale A2);russianimperialstout;13%;De Struise Brouwers bij Brouwerij Deca
242;Black Damnation XIII (More anger);russianimperialstout;13,5%;De Struise Brouwers bij Brouwerij Deca
243;Black Damnation XIV (Talisman);russianimperialstout;13%;De Struise Brouwers bij Brouwerij Deca
244;Black Damnation XV (Drone);russianimperialstout,eisbockmethode;13%;De Struise Brouwers bij Brouwerij Deca
245;Black Damnation XVI (Ivan the Terrible);russianimperialstout,eisbockmethode;13%;De Struise Brouwers bij Brouwerij Deca
246;Black Damnation XVII (Ben);russianimperialstout,eisbockmethode;13%;De Struise Brouwers bij Brouwerij Deca
247;Black Damnation XVIII (Major Tom);russianimperialstout,eisbockmethode;13%;De Struise Brouwers bij Brouwerij Deca
248;Black Damnation XIX (Maestro);russianimperialstout,eisbockmethode;13%;De Struise Brouwers bij Brouwerij Deca
249;Black Damnation XX (Ma Boule);russianimperialstout,eisbockmethode;13%;De Struise Brouwers bij Brouwerij Deca
250;Black Damnation XXI (Black Mes SR);russianimperialstout,eisbockmethode;13%;De Struise Brouwers bij Brouwerij Deca
251;Black Damnation XXII (Willy);russianimperialstout,eisbockmethode;13%;De Struise Brouwers bij Brouwerij Deca
252;Black Ghost;hogegisting;8%;Brasserie Fantôme
253;Black Hole;pils;5,6%;Brouwerij Roman
254;Black Jack;porter;7%;De Struise Brouwers bij Brouwerij Deca
255;Blanche;witbier;4,8%;Brasserie de Bellevaux
256;Blanche d'Ardenne;witbier;4,3%;Brasserie du Bocq
257;Blanche de Bouillon;witbier;5,5%;Brasserie de Bouillon
258;Blanche de Brabant;witbier;5%;Groep John Martin
259;Blanche de Bruxelles;witbier;4,5%;Brouwerij Lefebvre
260;Blanche de Charleroi;witbier;5%;Brasserie Val de Sambre
261;Blanche de Francorchamps;witbier;4,5%;Brouwerij Lefebvre
262;Blanche de Namur;witbier;5,2%;Brasserie du Bocq
263;Blanche de Tubize;witbier;4,8%;Brasserie de Tubize
264;Blanche de Quenast;witbier;4,5%;Brouwerij Lefebvre
265;Blanche des Honnelles;witbier;6%;Brasserie de l'Abbaye des Rocs
266;Blanche des Neiges;witbier;5%;Brouwerij Huyghe
267;Blanche du Hainaut Bio;witbier,biologisch;5,5%;Brouwerij Dupont
268;Blanchette de Gaume;witbier;5%;Brasserie Millevertus
269;Blanchette de Lorraine;witbier,fruitbier;5%;Brasserie Millevertus
270;BLAUW;pils,export;5,2%;Brouwerij Bockor
271;Blauwersbier;mengbier;6,5%;Brouwerij Van Eecke
272;Bleeken Moriaen;tripel;10%;Brouwerij Van Eecke
273;Blinde Mol;blond;6,5%;Brouwerij Maenhout
274;Bloemenbier;belgianstrongale;7%;De Proefbrouwerij
275;Bloesem Kriek;kriek;4,5%;Brouwerij Kerkom
276;Blonde;blond;7%;Brasserie de Bellevaux
277;Blonde;blond,lagegisting;1,2%;Brouwerij Haacht
278;Blonde Bie;blond;8%;Brouwerij De Bie
279;Blonde Stoot;blond;5%;Brouwerij Anders!
280;Blonde de Brabant;blond;6%;Groep John Martin
281;Blonde de Noël;blond;10%;Brasserie Caulier
282;Blondelle;blond;7%;'t Hofbrouwerijke
283;Blondine;blond;8%;Brouwerij Van Steenberge voor Hopduvel Gent
284;Blondine IPA;ipa;8%;Brouwerij De Graal voor Hopduvel Gent
285;Bloody Belgium;blond;6.5%;
286;Blusser;pils;5%;Brouwerij Het Anker
287;Bock Leroy;tafelbier;1,8%;Brouwerij Het Sas
288;Bock Pils;pils;5,2%;Brouwerij Palm
289;Bockor Pils;lagegisting,pils;5,2%;Brouwerij Bockor
290;Bocq Christmas;kerstbier;8,1%;Brasserie Du Bocq
291;Boembeke Luiwerk Blond;blond,lichttroebel;6,5%;Brouwerij De Graal
292;Boerinneken;hogegisting,blond;9,5%;De Proefbrouwerij voor Verstraeten H&S
293;Boerke Amber;amber;6,8%;Brouwerij Angerik
294;Boerke Blond;blond;6,8%;Brouwerij Angerik
295;Boerke Bruin;bruin;6,8%;Brouwerij Angerik
296;Boerke Donker;;5,5%;Brouwerij Angerik
297;Boerke Krieken;fruitbier;6,5%;Brouwerij Angerik
298;Boerken;hogegisting,bruin;9,5%;De proefbrouwerij voor Verstraeten H&S
299;Bokkereyer;lagegisting;6%;Brouwerij Sint-Jozef
300;Bolivar Blond;blond;7,5%;Brouwerij Huyghe
301;Bolivar Bruin;bruin;7,5%;Brouwerij Huyghe
302;Bolleville Calvados Barrel OA;oakaged;10%;Brouwerij Alvinne
303;Bokrijks;blond,abdijbier;7,2%;Brouwerij du Bocq
304;Bon Homme;hogegisting,donkerbruin;6,5%;Brouwerij De Leite
305;Bon Secours Ambrée;hogegisting,amber;8%;Brouwerij Caulier
306;Bon Secours Blonde;hogegisting,blond;8%;Brouwerij Caulier
307;Bon Secours Brune;hogegisting,bruin;8%;Brouwerij Caulier
308;Bon Secours Framboise;hogegisting,frambozenbier;7%;Brouwerij Caulier
309;Bon Secours Myrtille;hogegisting,bosbessenbier;7%;Brouwerij Caulier
310;Bon Secours Noël;hogegisting,blondkerstbier;10%;Brouwerij Caulier
311;Boneffe;abdijbier;9%;Brasserie de Tubize
312;Bootjes Bier;amber;7%;Brouwerij Roman
313;Bons Voeux;blond;9,5%;Brouwerij Dupont
314;Bornem Dubbel;abdijbier;8%;Brouwerij Van Steenberge
315;Bornem Tripel;abdijbier;9%;Brouwerij Van Steenberge
316;Bos Bier;fruitbier;9%;Brouwerij DijkWaert
317;Bosbier;fruitbier-pils;4%;Brouwerij Sint-Jozef
318;Boscoli;fruitbier;3,5%;Brouwerij Het Anker
319;Boskeun;lichtblond;7%;De Dolle Brouwers
320;Bosprotter;tripel;8,5%;'t Hofbrouwerijke
321;Bourgogne des Flandres Blond;hogegisting,blond;6%;Brouwerij Verhaeghe
322;Bourgogne des Flandres Bruin;oudbruin;5%;Brouwerij Verhaeghe nu Brouwerij Timmermans
323;Bras;bruin;10%;Brouwerij Den Tseut
324;Brasserie des Rocs Triple Impériale;;10%;Brasserie de l'Abbaye des Rocs
325;Brave Broeder;hogegisting(etiketbier);5%;Brasserie de Silly
326;Bravoure;hogegisting,rookbier,amber;6,5%;Brouwerij De Dochter van de Korenaar
327;Bremserbier;amber;6%;Huisbrouwerij de 3 vaten
328;Brice;blond;7,5%;Brasserie Grain d'Orge
329;Briekebakker;tripel;8,7%;Brouwerij Alvinne
330;Brigand;blond;9%;Brouwerij Van Honsebrouck
331;Brigand IPA;indiapaleale;6,5%;Brouwerij Van Honsebrouck
332;Broeder Jacob Bruin;bruin;7,5%;Brasserie du Bocq voor
333;Broeder Jacob Double Expresso;bruin;7,7%;Brasserie du Bocq voor
334;Broeder Jacob Double Port;donkerbruin;9%;Brasserie du Bocq voor
335;Broeder Jacob Formidabel;blond;5,5%;Brasserie du Bocq voor
336;Broeder Jacob Tripel;tripel;7,5%;Brasserie du Bocq voor
337;Bruegel;amber;5%;Brouwerij Van Steenberge
338;Brugge Blond;speciaalbier,hogegisting;6,5%;Brouwerij Palm
339;Brugge Tripel;speciaalbier,hogegisting;8,7%;Brouwerij Palm (vroeger in Brouwerij De Gouden Boom)
340;Brugs (Tarwebier);witbier;4,8%;Alken-Maes
341;Brugs Beertje 20;blond;6,5%;Brouwerij De Regenboog
342;Brugs Beertje 25;amber;9%;Brouwerij De Regenboog
343;Brugse Babbelaar;blond;6,5%;De Proefbrouwerij
344;Brugse Bok;lichtdonker;6,5%;Brouwerij De Halve Maan
345;Brugse SportZot;goudblond;0,4%;Brouwerij De Halve Maan
346;Brugse Zot Blond;goudblond;6%;Brouwerij De Halve Maan
347;Brugse Zot Dubbel;bruin;7,5%;Brouwerij De Halve Maan
348;Bruin Leroy;tafelbier;1,8%;Brouwerij Het Sas
349;Brune;bruin;6,8%;Brasserie de Bellevaux
350;Brunehaut Terroir;witbier;5%;Brasserie de Brunehaut
351;Brunehaut Tradition;amber;6,5%;Brasserie de Brunehaut
352;Brunehaut Village;blond;6,5%;Brasserie de  Brunehaut
353;Brunehaut Bio Amber;biologisch;6,5%;Brasserie de  Brunehaut
354;Brunehaut Bio Blanche;biologisch,witbier;5%;Brasserie de  Brunehaut
355;Brunehaut Bio Blonde;biologisch;6,5%;Brasserie de  Brunehaut
356;Brunette;hogegisting;9%;Brouwerij Van Steenberge voor Hopduvel Gent
357;Brussels Framboos;fruitbier;3,5%;Brouwerij Van Steenberge
358;Brussels Kriek;fruitbier;5%;Brouwerij Van Steenberge
359;Brussels Perzik;fruitbier;4%;Brouwerij Van Steenberge
360;"Brussels Fruit Beer ""Apple""";fruitbier;3,2%;Brasserie Du Bocq
361;"Brussels Fruit Beer ""Peaches""";fruitbier;3,2%;Brasserie Du Bocq
362;"Brussels Fruit Beer ""Red Fruit""";fruitbier;3,2%;Brasserie Du Bocq
363;Brut;blondaperitiefbier;8%;Brouwerij De Vlier
364;Bruynen Moriaen;donker;9%;Brouwerij Van Eecke
365;BRWN;hogegisting,biologisch;7%;De Proefbrouwerij
366;Bryggja;tripel;8,5%;Brouwerij De Graal voor
367;Bueckenholt Belge;spécialebelge,amber;6,5%;Brouwerij Anders!
368;Bueckenholt SaisoN548;saison,blond;6,1%;Brouwerij Den Triest
369;Buffalo;hogegisting,donker;6,5%;Brouwerij Van Den Bossche
370;Buffalo Belgian Stout;stout;9%;Brouwerij Van Den Bossche
371;Buffalo Bitter;blond;8%;Brouwerij Van Den Bossche
372;Bufo;blond;4,8%;De Proefbrouwerij voor
373;Bush 7;amber;7,5%;Brouwerij Dubuisson
374;Bush Amber;hogegisting,amber;12%;Brouwerij Dubuisson
375;Bush Amber Tripel;tripel,amber;12%;Brouwerij Dubuisson
376;Bush Blond;hogegisting,blond;10,5%;Brouwerij Dubuisson
377;Bush Blond Triple;tripel,blond;10,5%;Brouwerij Dubuisson
378;Bush de Noël;kerstbier;12%;Brouwerij Dubuisson
379;Bush de Noël Premium;kerstbier,tripel;13%;Brouwerij Dubuisson
380;Bush Millennium;amber,tripel;13%;Brouwerij Dubuisson
381;Bush de Nuits;amber,tripel;13%;Brouwerij Dubuisson
382;Bush Prestige;amber,tripel;13%;Brouwerij Dubuisson
383;Camaraderie;blond;8%;Brouwerij Bavik
384;Cambrinus;belgische;5,1%;Brouwerij Verhaeghe
385;Campus Premium;pils;5%;Brouwerij Huyghe
386;Campus;sterkdonker;7%;Brouwerij Huyghe
